timestamp,path_id,bandwidth_gbps,is_degraded
1781253830.619,20176,15.90,0
1781253830.629,20176,15.80,0
1781253832.675,35121,20.10,0
1781253832.695,35121,14.60,0
1781253833.712,35121,20.10,0
1781253833.729,35121,9.20,1
1781253833.738,35121,17.50,0
1781253833.749,35121,13.10,1
1781253833.758,35121,19.40,0
1781253833.774,35121,9.30,1
1781253833.785,35121,13.80,1
1781253833.804,35121,7.80,1
1781253833.813,35121,16.80,0
1781253833.824,35121,15.00,0
1781253839.984,35121,13.80,1
1781253839.999,35121,9.90,1
1781253840.013,35121,10.80,1
1781253840.027,35121,10.80,1
1781253840.037,35121,17.00,0
1781253840.048,35121,13.00,1
1781253840.057,35121,19.70,0
1781253840.075,35121,8.10,1
1781253840.086,35121,13.70,1
1781253840.103,35121,8.90,1
1781253842.162,35121,13.20,1
1781253842.171,35121,20.10,0
1781253842.185,35121,10.60,1
1781253842.193,35121,20.10,0
1781253843.218,35121,8.70,1
1781253843.229,35121,14.30,0
1781253843.242,35121,12.30,1
1781253843.250,35121,19.80,0
1781253843.263,35121,11.10,1
1781253843.279,35121,11.00,1
1781253843.294,35121,9.60,1
1781253843.309,35121,10.30,1
1781253843.321,35121,12.10,1
1781253845.378,20176,13.30,1
1781253845.388,20176,16.80,0
1781253845.408,20176,7.20,1
1781253845.417,20176,16.50,0
1781253845.430,20176,12.50,1
1781253845.438,20176,19.40,0
1781253846.467,35121,7.20,1
1781253846.477,35121,15.80,0
1781253847.519,20176,12.20,1
1781253848.557,35121,14.40,0
1781253848.567,35121,15.00,0
1781253848.578,35121,15.10,0
1781253848.588,35121,15.10,0
1781253848.598,35121,16.40,0
1781253848.618,35121,7.30,1
1781253848.626,35121,18.90,0
1781253848.641,35121,9.70,1
1781253849.665,35121,10.20,1
1781253849.690,35121,5.70,1
1781253849.713,35121,6.50,1
1781253851.777,35121,18.40,0
1781253851.795,35121,8.40,1
1781253851.804,35121,19.60,0
1781253851.816,35121,12.40,1
1781253851.825,35121,18.60,0
1781253853.865,35121,19.40,0
1781253854.906,20176,11.70,1
1781253854.915,20176,19.90,0
1781253854.934,20176,7.50,1
1781253854.944,20176,15.90,0
1781253854.955,20176,13.10,1
1781253854.964,20176,17.90,0
1781253857.036,35121,19.30,0
1781253858.072,35121,9.80,1
1781253858.083,35121,14.00,1
1781253858.098,35121,10.20,1
1781253858.107,35121,16.90,0
1781253858.118,35121,13.70,1
1781253858.127,35121,19.10,0
1781253858.143,35121,9.10,1
1781253858.152,35121,19.20,0
1781253858.168,35121,8.90,1
1781253858.178,35121,15.20,0
1781253860.236,35121,13.70,1
1781253860.246,35121,15.70,0
1781253860.256,35121,15.60,0
1781253860.266,35121,17.50,0
1781253861.285,35121,16.00,0
1781253861.303,35121,7.90,1
1781253861.313,35121,15.90,0
1781253861.324,35121,14.10,0
1781253861.334,35121,16.30,0
1781253863.391,35121,20.20,0
1781253863.403,35121,12.40,1
1781253863.414,35121,14.30,0
1781253863.424,35121,15.10,0
1781253863.435,35121,14.60,0
1781253863.444,35121,16.90,0
1781253863.462,35121,8.30,1
1781253863.471,35121,17.60,0
1781253865.518,35121,11.50,1
1781253865.536,35121,8.20,1
1781253865.547,35121,14.00,1
1781253865.558,35121,14.50,0
1781253866.589,20176,19.40,0
1781253866.606,20176,17.00,0
1781253866.626,20176,7.20,1
1781253866.635,20176,19.80,0
1781253866.647,20176,13.00,1
1781253866.656,20176,17.40,0
1781253867.675,35121,16.50,0
1781253867.692,35121,8.90,1
1781253867.712,35121,8.70,1
1781253867.723,35121,13.80,1
1781253867.746,35121,6.20,1
1781253867.765,35121,7.60,1
1781253867.787,35121,6.70,1
1781253868.806,20176,19.50,0
1781253868.825,20176,7.60,1
1781253872.937,20176,17.60,0
1781253872.948,20176,14.50,0
1781253872.959,20176,14.80,0
1781253872.975,20176,8.90,1
1781253872.987,20176,12.90,1
1781253872.999,20176,13.90,1
1781253873.008,20176,16.00,0
1781253876.109,35121,7.00,1
1781253876.119,35121,15.60,0
1781253876.133,35121,10.90,1
1781253876.142,35121,18.10,0
1781253876.153,35121,13.80,1
1781253876.165,35121,13.40,1
1781253876.178,35121,11.30,1
1781253876.189,35121,14.30,0
1781253876.204,35121,9.50,1
1781253878.252,35121,13.80,1
1781253878.261,35121,16.90,0
1781253878.271,35121,16.10,0
1781253878.283,35121,12.20,1
1781253878.292,35121,18.10,0
1781253878.303,35121,13.60,1
1781253878.312,35121,20.10,0
1781253878.327,35121,9.60,1
1781253878.335,35121,19.60,0
1781253878.347,35121,12.70,1
1781253879.368,35121,13.70,1
1781253879.377,35121,16.90,0
1781253879.394,35121,8.70,1
1781253879.414,35121,20.00,0
1781253879.430,35121,8.90,1
1781253880.451,35121,17.30,0
1781253880.464,35121,11.80,1
1781253880.472,35121,20.00,0
1781253881.506,35121,16.80,0
1781253881.524,35121,7.90,1
1781253881.533,35121,18.60,0
1781253881.546,35121,11.10,1
1781253881.556,35121,17.60,0
1781253881.566,35121,14.40,0
1781253881.576,35121,16.20,0
1781253884.665,20176,10.40,1
1781253884.676,20176,15.10,0
1781253884.686,20176,14.90,0
1781253884.697,20176,15.40,0
1781253884.706,20176,16.10,0
1781253884.721,20176,10.30,1
1781253886.769,35121,12.20,1
1781253886.791,35121,6.90,1
1781253887.822,35121,13.70,1
1781253887.831,35121,18.40,0
1781253887.847,35121,9.70,1
1781253887.858,35121,13.80,1
1781253887.877,35121,7.50,1
1781253887.886,35121,18.70,0
1781253887.897,35121,13.70,1
1781253887.907,35121,17.10,0
1781253887.920,35121,11.40,1
1781253887.934,35121,10.70,1
1781253891.004,20176,13.80,1
1781253891.023,20176,7.60,1
1781253891.032,20176,17.70,0
1781253891.042,20176,14.40,0
1781253891.053,20176,15.30,0
1781253891.064,20176,13.50,1
1781253893.120,35121,10.30,1
1781253894.154,35121,19.10,0
1781253894.171,35121,8.30,1
1781253894.180,35121,19.30,0
1781253894.191,35121,13.20,1
1781253894.201,35121,16.80,0
1781253894.214,35121,11.50,1
1781253894.228,35121,11.10,1
1781253894.243,35121,9.40,1
1781253894.254,35121,14.20,0
1781253894.263,35121,18.00,0
1781253896.320,20176,12.60,1
1781253896.328,20176,20.10,0
1781253897.352,20176,10.90,1
1781253897.361,20176,19.20,0
1781253900.448,35121,18.90,0
1781253900.465,35121,8.30,1
1781253900.474,35121,19.60,0
1781253900.486,35121,12.00,1
1781253900.495,35121,19.80,0
1781253900.510,35121,9.70,1
1781253900.521,35121,14.10,0
1781253900.539,35121,8.40,1
1781253900.549,35121,15.70,0
1781253900.559,35121,15.90,0
1781253902.616,35121,12.90,1
1781253902.626,35121,15.70,0
1781253902.638,35121,13.50,1
1781253903.660,20176,17.50,0
1781253904.698,35121,7.80,1
1781253906.767,20176,16.00,0
1781253906.779,20176,13.00,1
1781253906.787,20176,19.70,0
1781253906.800,20176,12.20,1
1781253906.809,20176,16.90,0
1781253909.889,20176,20.30,0
1781253909.897,20176,19.60,0
1781253909.905,20176,19.70,0
1781253909.915,20176,15.80,0
1781253909.925,20176,16.80,0
1781253909.933,20176,19.90,0
1781253909.941,35121,20.00,0
1781253909.950,35121,19.70,0
1781253909.958,35121,19.90,0
1781253909.967,35121,17.10,0
1781254043.613,51491,18.90,0
1781254043.621,51491,20.40,0
1781254043.631,51491,15.40,0
1781254043.648,45135,15.50,0
1781254043.656,45135,20.70,0
1781254043.668,45135,12.60,1
1781254044.712,706,16.30,0
1781254044.720,706,20.60,0
1781254044.730,706,15.90,0
1781254044.741,706,16.00,0
1781254044.749,706,20.30,0
1781254047.177,27010,17.20,0
1781254047.185,27010,20.60,0
1781254047.193,27010,20.70,0
1781254047.204,27010,14.40,0
1781254047.212,27010,20.60,0
1781254047.220,27010,20.60,0
1781254047.231,27010,14.80,0
1781254047.239,27010,20.30,0
1781254048.289,40797,20.30,0
1781254048.297,40797,20.30,0
1781254048.306,40797,19.50,0
1781254048.314,40797,19.30,0
1781254048.324,40797,16.80,0
1781254048.334,40797,16.80,0
1781254048.342,40797,19.80,0
1781254048.351,40797,19.20,0
1781254049.671,8351,14.50,0
1781254049.681,8351,20.60,0
1781254049.691,8351,15.90,0
1781254049.702,8351,13.90,1
1781254049.710,8351,20.70,0
1781254049.718,8351,20.50,0
1781254049.729,8351,13.70,1
1781254049.737,8351,20.50,0
1781254049.745,8351,20.40,0
1781254050.793,51197,20.30,0
1781254050.801,51197,19.10,0
1781254050.811,51197,15.00,0
1781254050.819,51197,20.70,0
1781254050.829,51197,15.90,0
1781254050.840,51197,14.50,0
